desc,valor,metraje
3 Dormitorios en Aires Puros,U$S 85.000,60
2 Dormitorios en Malvin Norte,U$S 85.000,40
4 Dormitorios en Brazo Oriental,U$S 85.000,160
3 Dormitorios en Union,U$S 85.000,109
2 Dormitorios en Sayago,U$S 85.000,45
3 Dormitorios en Union,U$S 85.000,109
2 Dormitorios en Lezica,U$S 85.000,90
3 Dormitorios en Lezica,U$S 85.000,86
2 Dormitorios en Colon,U$S 85.000,
1 Dormitorio en Reducto,U$S 85.000,63
2 Dormitorios en Malvin Norte,U$S 85.000,40
Más de 4 dormitorios en Ciudad Vieja,U$S 85.000,120
1 Dormitorio en Reducto,U$S 85.000,48
2 Dormitorios en Maroñas,U$S 85.000,
3 Dormitorios en Villa Española,U$S 85.000,109
2 Dormitorios en Las Acacias,U$S 85.000,300
1 Dormitorio en Goes,U$S 85.000,60
3 Dormitorios en Paso Molino,U$S 85.000,60
3 Dormitorios en Nuevo Paris,U$S 85.000,
3 Dormitorios en Maroñas,U$S 85.000,109
2 Dormitorios en Otro,U$S 85.000,92
3 Dormitorios en Otro,U$S 85.000,109
2 Dormitorios en Las Acacias,U$S 85.000,65
4 Dormitorios en Sayago,U$S 85.000,77
4 Dormitorios en Peñarol,U$S 85.000,
2 Dormitorios en Paso De La Arena,U$S 85.000,100
3 Dormitorios en Lezica,U$S 85.000,100
2 Dormitorios en Lezica,U$S 85.000,90
1 Dormitorio en Aires Puros,U$S 85.000,60
2 Dormitorios en Brazo Oriental,U$S 85.000,60
3 Dormitorios en Nuevo Paris,U$S 85.000,
2 Dormitorios en Cerrito,U$S 85.000,54
3 Dormitorios en Colon,U$S 85.000,88
2 Dormitorios en La Teja,U$S 85.000,100
1 Dormitorio en Reducto,U$S 85.000,64
1 Dormitorio en La Comercial,U$S 85.000,60
4 Dormitorios en Cerro,U$S 85.000,100
Más de 4 dormitorios en Colon,U$S 86.000,150
3 Dormitorios en Ituzaingo,U$S 87.000,74
3 Dormitorios en Cno. Maldonado,U$S 87.000,158
3 Dormitorios en Cerrito,U$S 87.000,104
2 Dormitorios en Maroñas,U$S 87.000,90
2 Dormitorios en Belvedere,U$S 87.000,70
1 Dormitorio en Aguada,U$S 87.000,40
1 Dormitorio en Reducto,U$S 87.000,47
2 Dormitorios en Malvin,U$S 87.000,50
3 Dormitorios en Cerrito,U$S 87.000,65
4 Dormitorios en Paso Molino,U$S 87.000,170
2 Dormitorios en Peñarol,U$S 87.000,65
2 Dormitorios en Colon,U$S 87.000,95
2 Dormitorios en Sayago,U$S 88.000,91
2 Dormitorios en Colon,U$S 88.000,
1 Dormitorio en La Blanqueada,U$S 88.000,35
1 Dormitorio en Colon,U$S 88.000,135
3 Dormitorios en Barra Santa Lucia,U$S 88.000,120
2 Dormitorios en Peñarol,U$S 88.000,100
2 Dormitorios en Cerrito,U$S 88.000,
3 Dormitorios en Sayago,U$S 88.000,115
3 Dormitorios en Peñarol,U$S 89.000,115
3 Dormitorios en Piedras Blancas,U$S 89.000,90
2 Dormitorios en Brazo Oriental,U$S 89.000,50
2 Dormitorios en Bolivar,U$S 89.000,77
4 Dormitorios en Union,U$S 89.000,200
2 Dormitorios en Peñarol,U$S 89.000,98
2 Dormitorios en Atahualpa,U$S 89.000,90
3 Dormitorios en Otro,U$S 89.000,108
2 Dormitorios en La Teja,U$S 89.000,100
3 Dormitorios en Peñarol,U$S 89.000,103
3 Dormitorios en Capurro,U$S 89.000,
2 Dormitorios en Paso Molino,U$S 89.000,106
3 Dormitorios en Nuevo Paris,U$S 89.000,88
2 Dormitorios en Perez Castellanos,U$S 89.000,70
3 Dormitorios en Aguada,U$S 89.000,108
2 Dormitorios en Peñarol,U$S 89.000,83
2 Dormitorios en Cerro,U$S 89.000,81
3 Dormitorios en La Comercial,U$S 89.000,108
2 Dormitorios en Cerrito,U$S 89.000,70
3 Dormitorios en Sayago,U$S 89.000,80
2 Dormitorios en Cerrito,U$S 89.000,118
2 Dormitorios en Bolivar,U$S 89.000,
3 Dormitorios en Colon,U$S 89.000,64
Más de 4 dormitorios en Aguada,U$S 89.000,29
2 Dormitorios en La Comercial,U$S 89.000,60
2 Dormitorios en Cerro,U$S 89.000,120
2 Dormitorios en Otro,U$S 89.000,70
3 Dormitorios en Reducto,U$S 89.000,108
2 Dormitorios en Peñarol,U$S 89.000,90
1 Dormitorio en Buceo,U$S 89.000,44
2 Dormitorios en La Blanqueada,U$S 89.000,50
2 Dormitorios en Union,U$S 89.500,109
3 Dormitorios en Union,U$S 89.800,
3 Dormitorios en Reducto,U$S 89.900,70
3 Dormitorios en Ciudad Vieja,U$S 90.000,60
3 Dormitorios en Ciudad Vieja,U$S 90.000,122
1 Dormitorio en La Blanqueada,U$S 90.000,35
2 Dormitorios en Nuevo Paris,U$S 90.000,110
3 Dormitorios en Cerrito,U$S 90.000,90
1 Dormitorio en Malvin,U$S 90.000,60
3 Dormitorios en Colon,U$S 90.000,88
2 Dormitorios en Maroñas,U$S 90.000,
3 Dormitorios en Capurro,U$S 90.000,1
2 Dormitorios en Cerrito,U$S 90.000,85
1 Dormitorio en La Blanqueada,U$S 90.000,44
2 Dormitorios en Peñarol,U$S 90.000,70
2 Dormitorios en Colon,U$S 90.000,133
1 Ambiente en Palermo,U$S 90.000,44
1 Dormitorio en La Blanqueada,U$S 90.000,44
1 Dormitorio en La Blanqueada,U$S 90.000,37
2 Dormitorios en Paso Molino,U$S 90.000,
3 Dormitorios en Colon,U$S 90.000,100
3 Dormitorios en Aguada,U$S 90.000,
1 Dormitorio en Sayago,U$S 90.000,42
2 Dormitorios en La Teja,U$S 90.000,77
2 Dormitorios en Sayago,U$S 90.000,150
1 Dormitorio en La Blanqueada,U$S 90.000,37
2 Dormitorios en Sayago,U$S 90.000,65
2 Dormitorios en Sayago,U$S 90.000,54
3 Dormitorios en Villa Muñoz,U$S 90.000,
Más de 4 dormitorios en La Teja,U$S 90.000,160
2 Dormitorios en Nuevo Paris,U$S 90.000,132
2 Dormitorios en Nuevo Paris,U$S 90.000,70
1 Dormitorio en Peñarol,U$S 90.000,105
3 Dormitorios en Pajas Blancas,U$S 90.000,100
3 Dormitorios en Ciudad Vieja,U$S 90.000,122
3 Dormitorios en J. Hipodromo,U$S 90.000,90
2 Dormitorios en Barrio Sur,U$S 90.000,63
4 Dormitorios en Cerrito,U$S 90.000,111
3 Dormitorios en Manga,U$S 90.000,94
3 Dormitorios en Maroñas,U$S 90.000,357
2 Dormitorios en Peñarol,U$S 90.000,79
3 Dormitorios en Aguada,U$S 90.000,90
1 Dormitorio en Aguada,U$S 91.500,42
1 Dormitorio en Aguada,U$S 91.500,40
2 Dormitorios en Otro,U$S 92.000,66
2 Dormitorios en Sayago,U$S 92.000,65
3 Dormitorios en Maroñas,U$S 92.000,
2 Dormitorios en Cno. Maldonado,U$S 92.000,168
2 Dormitorios en Brazo Oriental,U$S 92.000,70
4 Dormitorios en Colon,U$S 92.000,120
1 Dormitorio en Sayago,U$S 92.000,47
3 Dormitorios en Colon,U$S 92.000,110
4 Dormitorios en Paso Molino,U$S 92.000,
2 Dormitorios en La Blanqueada,U$S 92.000,56
