desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine,valor_metro
2 Dormitorios en Lezica,55000,52,https://www.gallito.com.uy/padron-unico-muy-prolija-inmuebles-17906495,,,2 Dormitorios,Lezica,"Lezica, Melilla",60.0,1057.6923076923076
2 Dormitorios en Sayago,55000,55,https://www.gallito.com.uy/casa-en-ph-al-fondo-de-planchada-si-banco-inmuebles-20000726,-34.83655,-56.19808,2 Dormitorios,Sayago,Sayago,52.0,1000.0
2 Dormitorios en Colon,55000,70,https://www.gallito.com.uy/complejo-duplex-2-dorm-uss-55000-s-7600-monoambiente-inmuebles-16224847,0.0,0.0,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,785.7142857142857
2 Dormitorios en Cerrito,56000,54,https://www.gallito.com.uy/propiedad-con-mucho-potencial-cerrito-inmuebles-20086148,-34.85643,-56.17049,2 Dormitorios,Cerrito,Cerrito,27.0,1037.037037037037
1 Dormitorio en Union,56000,45,https://www.gallito.com.uy/casa-jardin-lugar-auto-rejas-perimetrales-inmuebles-17284143,-34.86425,-56.13854,1 Dormitorio,Union,Unión,23.0,1244.4444444444443
2 Dormitorios en Cerrito,56000,40,https://www.gallito.com.uy/2-dormitorios-casa-venta-cerrito-montevideo-imasuy-l-inmuebles-19487931,-34.85053,-56.17575,2 Dormitorios,Cerrito,Cerrito,27.0,1400.0
2 Dormitorios en Colon,56000,100,https://www.gallito.com.uy/linda-casa-en-ph-inmuebles-17401317,-34.81823,-56.22748,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,560.0
1 Dormitorio en Villa Española,56000,45,https://www.gallito.com.uy/casa-con-jardin-con-rejas-porton-para-auto-inmuebles-19753708,-34.86363,-56.13903,1 Dormitorio,Villa Española,Villa Española,24.0,1244.4444444444443
2 Dormitorios en J. Hipodromo,57000,52,https://www.gallito.com.uy/av-dr-carlos-nery-a-mts-de-estadio-jardines-del-hipodromo-inmuebles-18525643,-34.83792,-56.1337,2 Dormitorios,J. Hipodromo,Jardines del Hipódromo,21.0,1096.1538461538462
2 Dormitorios en Cerro,57000,50,https://www.gallito.com.uy/coqueta-casa-en-el-cerro-inmuebles-17520740,-34.87623,-56.26443,2 Dormitorios,Cerro,Cerro,35.0,1140.0
2 Dormitorios en Paso De La Arena,57000,200,https://www.gallito.com.uy/venta-casa-paso-de-la-arena-inmuebles-19536066,,,2 Dormitorios,Paso De La Arena,Paso de la Arena,57.0,285.0
2 Dormitorios en Peñarol,58000,41,https://www.gallito.com.uy/a-mts-de-cnel-raiz-inmuebles-16975580,-34.82887,-56.20001,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0,1414.6341463414635
2 Dormitorios en Perez Castellanos,58000,70,https://www.gallito.com.uy/venta-por-viaje-ph-2-dorm-patio-cocina-y-baño-a-nuevos-inmuebles-18993709,,,2 Dormitorios,Perez Castellanos,"Castro, P. Castellanos",26.0,828.5714285714286
2 Dormitorios en Prado,58000,57,https://www.gallito.com.uy/oficina-sosa-apto-en-molinos-de-raffo-y-ma-orticochea-inmuebles-19827404,-32.87555,-56.02015,2 Dormitorios,Prado,"Prado, Nueva Savona",39.0,1017.5438596491229
2 Dormitorios en Brazo Oriental,58000,35,https://www.gallito.com.uy/venta-casa-2-dormitorios-en-brazo-oriental-ideal-inversion-inmuebles-19558877,-34.86993,-56.17958,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,1657.142857142857
2 Dormitorios en Malvin Norte,58000,43,https://www.gallito.com.uy/venta-casa-2-dorm-a-r-caslelao-prox-minesotta-inmuebles-17612938,-34.884,-56.12913,2 Dormitorios,Malvin Norte,Malvín Norte,12.0,1348.8372093023256
2 Dormitorios en Cerro,58000,80,https://www.gallito.com.uy/casa-con-patio-y-jardin-acepta-banco-inmuebles-20040623,-34.87298,-56.26189,2 Dormitorios,Cerro,Cerro,35.0,725.0
2 Dormitorios en Colon,58000,106,https://www.gallito.com.uy/casa-de-2-dormitorios-en-barrio-abayuba-inmuebles-15848791,-34.76901,-56.22331,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,547.1698113207547
3 Dormitorios en Ituzaingo,58000,70,https://www.gallito.com.uy/venta-casa-3-dormitorios-ituzaingo-inmuebles-19819528,-34.87116,-56.1321,3 Dormitorios,Ituzaingo,Ituzaingó,22.0,828.5714285714286
2 Dormitorios en Union,58000,50,https://www.gallito.com.uy/casa-2-dormitorios-union-con-altillo-inmuebles-19487829,-34.87831,-56.13891,2 Dormitorios,Union,Unión,23.0,1160.0
1 Dormitorio en Prado,58000,40,https://www.gallito.com.uy/-vendida-molinos-de-raffo-al-frente-inmuebles-14543049,,,1 Dormitorio,Prado,"Prado, Nueva Savona",39.0,1450.0
3 Dormitorios en Union,59000,60,https://www.gallito.com.uy/oportunidad-inversores-proximo-a-8-de-octubre-y-comercio-inmuebles-17891308,,,3 Dormitorios,Union,Unión,23.0,983.3333333333334
3 Dormitorios en Colon,59000,150,https://www.gallito.com.uy/casa-de-3-dorm-a-4-cuadras-de-garzon-inmuebles-13711310,-34.79046,-56.23058,3 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,393.3333333333333
1 Dormitorio en La Teja,59000,70,https://www.gallito.com.uy/venta-casa-de-altos-patio-azotea-transit-la-teja-proximo-a-inmuebles-19932585,-34.86067,-56.22971,1 Dormitorio,La Teja,La Teja,38.0,842.8571428571429
3 Dormitorios en Cerro,59000,60,https://www.gallito.com.uy/acepta-banco-frente-a-terminal-omnibus-del-cerro-inmuebles-19103335,-34.87323,-56.25056,3 Dormitorios,Cerro,Cerro,35.0,983.3333333333334
1 Ambiente en Aguada,59500,22,https://www.gallito.com.uy/venta-casa-monoambiente-la-aguada-inmuebles-19102270,-34.88663,-56.18604,1 Ambiente,Aguada,Aguada,41.0,2704.5454545454545
2 Dormitorios en Cerrito,60000,66,https://www.gallito.com.uy/casa-de-planchada-y-apto-de-techo-liviano-si-bco-inmuebles-18568159,-34.84877,-56.18344,2 Dormitorios,Cerrito,Cerrito,27.0,909.0909090909091
2 Dormitorios en La Teja,60000,90,https://www.gallito.com.uy/casa-en-venta-inmuebles-19379649,-34.86992,-56.23285,2 Dormitorios,La Teja,La Teja,38.0,666.6666666666666
2 Dormitorios en Cerrito,60000,75,https://www.gallito.com.uy/casa-venta-cerrito-sobre-san-martin-inmuebles-17735350,-34.85472,-56.17319,2 Dormitorios,Cerrito,Cerrito,27.0,800.0
2 Dormitorios en Paso De La Arena,60000,50,https://www.gallito.com.uy/venta-casa-paso-de-la-arena-2-dormirtorios-inmuebles-20101262,-34.839,-56.27049,2 Dormitorios,Paso De La Arena,Paso de la Arena,57.0,1200.0
2 Dormitorios en Arroyo Seco,60000,50,https://www.gallito.com.uy/casas-venta-montevideo-arroyo-seco-inmuebles-19498500,,,2 Dormitorios,Arroyo Seco,,,1200.0
2 Dormitorios en Malvin Norte,60000,51,https://www.gallito.com.uy/escriturada-sin-deuda-muy-mejorada-inmuebles-19825374,-34.87539,-56.1019,2 Dormitorios,Malvin Norte,Malvín Norte,12.0,1176.4705882352941
1 Dormitorio en Sayago,60000,34,https://www.gallito.com.uy/casa-de-planchada-con-lugar-para-auto-inmuebles-19345512,-34.83922,-56.21409,1 Dormitorio,Sayago,Sayago,52.0,1764.7058823529412
3 Dormitorios en Cerrito,60000,72,https://www.gallito.com.uy/oportunidad-buen-precio-casa-con-jardin-y-azotea-inmuebles-18948461,-34.85569,-56.17389,3 Dormitorios,Cerrito,Cerrito,27.0,833.3333333333334
2 Dormitorios en Colon,60000,70,https://www.gallito.com.uy/casa-en-venta-en-colon-inmuebles-15632682,-34.80972,-56.22764,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,857.1428571428571
1 Dormitorio en Aires Puros,60000,70,https://www.gallito.com.uy/oportunidad-casa-de-1-dormitorio-a-1-cuadra-de-propios-inmuebles-15231571,,,1 Dormitorio,Aires Puros,Aires Puros,29.0,857.1428571428571
2 Dormitorios en Cerrito,60000,60,https://www.gallito.com.uy/cerrito-casa-en-esquina-2-dormitorios-inmuebles-20006935,-34.85357,-56.17061,2 Dormitorios,Cerrito,Cerrito,27.0,1000.0
2 Dormitorios en Otro,60000,80,https://www.gallito.com.uy/[venta-nuda-propiedad]-venta-de-nuda-propiedad-con-usufruc-inmuebles-20026420,,,2 Dormitorios,Otro,,,750.0
4 Dormitorios en Piedras Blancas,60000,200,https://www.gallito.com.uy/terreno-de-1500-m²-con-2-casas-inmuebles-18574604,,,4 Dormitorios,Piedras Blancas,Piedras Blancas,31.0,300.0
