desc,valor,metraje,dormitorios,barrio
3 Dormitorios en Malvin,430000,180.0,3 Dormitorios,Malvin
3 Dormitorios en Carrasco,430000,200.0,3 Dormitorios,Carrasco
3 Dormitorios en Malvin,430000,,3 Dormitorios,Malvin
4 Dormitorios en Punta Gorda,430000,140.0,4 Dormitorios,Punta Gorda
4 Dormitorios en Malvin,430000,500.0,4 Dormitorios,Malvin
Más de 4 dormitorios en Prado,430000,630.0,Más de 4 dormitorios,Prado
4 Dormitorios en La Comercial,430000,450.0,4 Dormitorios,La Comercial
3 Dormitorios en Pocitos,430000,150.0,3 Dormitorios,Pocitos
4 Dormitorios en Carrasco,430000,183.0,4 Dormitorios,Carrasco
4 Dormitorios en Villa Biarritz,430000,150.0,4 Dormitorios,Villa Biarritz
3 Dormitorios en Pocitos,430000,222.0,3 Dormitorios,Pocitos
2 Dormitorios en Carrasco,430000,185.0,2 Dormitorios,Carrasco
3 Dormitorios en Pocitos Nuevo,430000,215.0,3 Dormitorios,Pocitos Nuevo
4 Dormitorios en Punta Carretas,430000,150.0,4 Dormitorios,Punta Carretas
Más de 4 dormitorios en Palermo,430000,,Más de 4 dormitorios,Palermo
3 Dormitorios en Punta Carretas,430000,150.0,3 Dormitorios,Punta Carretas
3 Dormitorios en La Blanqueada,430000,302.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Carrasco,430000,190.0,3 Dormitorios,Carrasco
4 Dormitorios en Punta Carretas,430000,150.0,4 Dormitorios,Punta Carretas
3 Dormitorios en Pocitos Nuevo,430000,158.0,3 Dormitorios,Pocitos Nuevo
3 Dormitorios en Malvin,430000,,3 Dormitorios,Malvin
2 Dormitorios en Punta Gorda,430000,188.0,2 Dormitorios,Punta Gorda
4 Dormitorios en Carrasco,430000,179.0,4 Dormitorios,Carrasco
4 Dormitorios en La Blanqueada,435000,261.0,4 Dormitorios,La Blanqueada
2 Dormitorios en Carrasco,435000,160.0,2 Dormitorios,Carrasco
3 Dormitorios en Punta Gorda,435000,138.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Punta Gorda,435000,212.0,3 Dormitorios,Punta Gorda
4 Dormitorios en Punta Carretas,435000,100.0,4 Dormitorios,Punta Carretas
2 Dormitorios en Carrasco,435000,160.0,2 Dormitorios,Carrasco
3 Dormitorios en Carrasco,435000,150.0,3 Dormitorios,Carrasco
3 Dormitorios en Carrasco,435000,260.0,3 Dormitorios,Carrasco
Más de 4 dormitorios en Punta Gorda,440000,286.0,Más de 4 dormitorios,Punta Gorda
4 Dormitorios en Prado,440000,181.0,4 Dormitorios,Prado
4 Dormitorios en Prado,440000,178.0,4 Dormitorios,Prado
3 Dormitorios en Parque Miramar,440000,120.0,3 Dormitorios,Parque Miramar
Más de 4 dormitorios en Jacinto Vera,440000,390.0,Más de 4 dormitorios,Jacinto Vera
3 Dormitorios en Prado,440000,181.0,3 Dormitorios,Prado
4 Dormitorios en Carrasco,440000,287.0,4 Dormitorios,Carrasco
Más de 4 dormitorios en Prado,440000,218.0,Más de 4 dormitorios,Prado
3 Dormitorios en Otro,440000,207.0,3 Dormitorios,Otro
4 Dormitorios en Carrasco Norte,440000,200.0,4 Dormitorios,Carrasco Norte
4 Dormitorios en Carrasco,440000,287.0,4 Dormitorios,Carrasco
2 Dormitorios en Punta Carretas,440000,122.0,2 Dormitorios,Punta Carretas
3 Dormitorios en Parque Batlle,440000,190.0,3 Dormitorios,Parque Batlle
Más de 4 dormitorios en Carrasco,440000,286.0,Más de 4 dormitorios,Carrasco
Más de 4 dormitorios en Reducto,440000,336.0,Más de 4 dormitorios,Reducto
Más de 4 dormitorios en La Blanqueada,440000,,Más de 4 dormitorios,La Blanqueada
4 Dormitorios en Carrasco Norte,440000,287.0,4 Dormitorios,Carrasco Norte
3 Dormitorios en B. De Carrasco,440000,170.0,3 Dormitorios,B. De Carrasco
