desc,valor,url,lat,lng
3 Dormitorios,U$S 175.000,https://www.gallito.com.uy/oportunidad-rincon-del-indio-inmuebles-20046630,,
2 Dormitorios - 140 m2,U$S 175.000,https://www.gallito.com.uy/casa-en-punta-del-este-punta-ballena-ref-4732-inmuebles-20090191,-34.87664,-55.02716
3 Dormitorios,U$S 178.000,https://www.gallito.com.uy/en-zona-tranquila-inmuebles-18265831,,
2 Dormitorios - 76 m2,U$S 179.000,https://www.gallito.com.uy/casa-en-punta-del-este-pinares-ref-3657-inmuebles-19197503,-34.91146,-54.99526
2 Dormitorios,U$S 179.000,https://www.gallito.com.uy/casa-de-2-habitaciones-en-punta-del-este-inmuebles-19251685,,
2 Dormitorios,U$S 179.000,https://www.gallito.com.uy/casa-de-2-habitaciones-en-punta-del-este-inmuebles-18692582,,
2 Dormitorios,U$S 179.000,https://www.gallito.com.uy/casa-de-2-habitaciones-en-punta-del-este-inmuebles-18692745,,
2 Dormitorios - 120 m2,U$S 179.900,https://www.gallito.com.uy/casa-punta-del-este-con-apto-independiente-inmuebles-17681032,-34.9084,-54.97115
2 Dormitorios,U$S 180.000,https://www.gallito.com.uy/casa-de-construcciã³n-tradicional-y-buena-ubicacion-inmuebles-19752269,-34.91356,-54.86191
3 Dormitorios,U$S 180.000,https://www.gallito.com.uy/venta-casa-3-dormitorios-zona-golf-inmuebles-20109191,-34.92501,-54.91983
2 Dormitorios - 90 m2,U$S 180.000,https://www.gallito.com.uy/venta-casa-2-dormitorios-pinares-punta-del-este-ref-15-inmuebles-17401496,-34.90402,-54.99065
2 Dormitorios - 120 m2,U$S 180.000,https://www.gallito.com.uy/casa-punta-del-este-inmuebles-18455540,-34.93632,-54.93778
2 Dormitorios,U$S 180.000,https://www.gallito.com.uy/casa-en-venta-en-la-barra-inmuebles-20067649,,
4 Dormitorios,U$S 180.000,https://www.gallito.com.uy/apto-estilo-casa-ph-en-2-plantas-y-patio-con-parrillero-en-inmuebles-19895840,,
2 Dormitorios,U$S 180.000,https://www.gallito.com.uy/casa-en-venta-la-barra-inmuebles-19895616,,
2 Dormitorios - 118 m2,U$S 183.000,https://www.gallito.com.uy/casa-punta-del-este-inmuebles-17471891,-34.91146,-54.99526
2 Dormitorios,U$S 185.000,https://www.gallito.com.uy/casa-en-jardines-de-cordoba-punta-del-este-inmuebles-18874300,,
3 Dormitorios,U$S 185.000,https://www.gallito.com.uy/casa-en-venta-zona-brava-inmuebles-18692580,,
2 Dormitorios - 90 m2,U$S 185.000,https://www.gallito.com.uy/casa-en-punta-del-este-ref-3614-inmuebles-19144519,-34.92191,-54.89375
3 Dormitorios,U$S 185.000,https://www.gallito.com.uy/casa-de-3-dormitorios-en-venta-inmuebles-19217392,,
2 Dormitorios,U$S 185.000,https://www.gallito.com.uy/casa-en-rincon-del-indio-consulte-inmuebles-18424921,,
2 Dormitorios,U$S 187.000,https://www.gallito.com.uy/casa-en-venta-golf-punta-del-este-2-dormitorios-inmuebles-20108114,,
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-la-barra-2-dormitorios-inmuebles-19848579,,
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cã³rdoba-3-dormitorios-inmuebles-18612487,-34.91983,-54.93503
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cordoba-2-dormitorios-inmuebles-17960344,-34.91983,-54.93503
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cordoba-2-dormitorios-inmuebles-18411192,-34.91983,-54.93503
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cã³rdoba-3-dormitorios-inmuebles-19896216,-34.91983,-54.93503
3 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-complejo-zona-jardin-es-de-cordorba-de-3-dormitori-inmuebles-19894901,,
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cã³rdoba-2-dormitorios-y-medio-inmuebles-20126329,-34.91983,-54.93503
3 Dormitorios,U$S 190.000,https://www.gallito.com.uy/propiedad-horizontal-en-jardines-de-cã³rdoba-inmuebles-19848137,-34.9198,-54.93556
3 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-impecable-jardines-de-cordoba-inmuebles-18271914,,
3 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-jardines-de-cordoba-consulte-inmuebles-18271363,,
3 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-en-jardines-de-cã³rdoba-inmuebles-18759414,,
3 Dormitorios,U$S 190.000,https://www.gallito.com.uy/muy-linda-casa-en-propiedad-horizontal-inmuebles-19576604,,
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cordoba-2-dormitorios-inmuebles-20015762,-34.91983,-54.93503
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cã³rdoba-3-dormitorios-inmuebles-18755421,-34.91983,-54.93503
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cã³rdoba-2-dormitorios-y-medio-inmuebles-19714729,-34.91983,-54.93503
3 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-inmuebles-19984509,,
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-playa-mansa-punta-del-este-inmuebles-18613780,,
2 Dormitorios,U$S 190.000,https://www.gallito.com.uy/casa-en-venta-jardines-de-cã³rdoba-2-dormitorios-y-medio-inmuebles-19847810,-34.91983,-54.93503
2 Dormitorios - 77 m2,U$S 193.000,https://www.gallito.com.uy/casa-en-la-barra-punta-del-este-inmuebles-19404575,-34.91265,-54.85379
3 Dormitorios - 105 m2,U$S 193.000,https://www.gallito.com.uy/venta-de-casa-3-dormitorios-en-pinares-ref-3855-inmuebles-20126505,-34.915,-54.97013
4 Dormitorios,U$S 195.000,https://www.gallito.com.uy/oportunidad-casa-de-3-dormitorios-en-lugano-inmuebles-19813483,,
4 Dormitorios,U$S 195.000,https://www.gallito.com.uy/venta-de-casa-4-dormitorios-en-lugano-punta-del-este-inmuebles-19505350,,
3 Dormitorios - 112 m2,U$S 195.000,https://www.gallito.com.uy/3-dormitorios-a-5-cuadras-de-ruta-10-inmuebles-19873801,-34.84711,-54.70454
4 Dormitorios - 150 m2,U$S 195.000,https://www.gallito.com.uy/venta-casa-punta-del-este-lugano-4-dormitorios-oportunida-inmuebles-19997137,-34.93745,-54.93531
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/oportunidad-lindo-entorno-luminosa-inmuebles-19646989,-34.92901,-54.93009
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/casa-a-la-venta-en-punta-del-este-inmuebles-19491462,,
4 Dormitorios,U$S 195.000,https://www.gallito.com.uy/venta-de-casa-4-dormitorios-en-lugano-punta-del-este-inmuebles-18666042,,
4 Dormitorios - 140 m2,U$S 195.000,https://www.gallito.com.uy/venta-de-casa-4-dormitorios-punta-del-este3945-inmuebles-20033362,-34.93745,-54.93531
3 Dormitorios - 90 m2,U$S 195.000,https://www.gallito.com.uy/venta-casa-punta-del-este-pinares-inmuebles-18086348,-34.90849,-54.98962
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/oportunidad-lindo-entorno-luminosa-inmuebles-19454900,-34.92901,-54.93009
4 Dormitorios,U$S 195.000,https://www.gallito.com.uy/venta-casa-en-punta-del-este-lugano-4-dormitorios-inmuebles-18925127,,
3 Dormitorios - 186 m2,U$S 195.000,https://www.gallito.com.uy/venta-de-casa-3-dormitorios-en-pinares-ref-2926-inmuebles-17771212,-34.90969,-54.97034
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/casa-a-la-venta-en-punta-del-este-inmuebles-19895708,,
4 Dormitorios,U$S 195.000,https://www.gallito.com.uy/venta-de-casa-4-dormitorios-en-lugano-punta-del-este-inmuebles-18666955,,
4 Dormitorios,U$S 195.000,https://www.gallito.com.uy/venta-de-casa-4-dormitorios-en-lugano-punta-del-este-inmuebles-18755590,,
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/casa-de-3-dormitorios-en-venta-inmuebles-18684285,,
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/casa-en-venta-en-golf-inmuebles-19293898,-34.955,-54.971
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/oportunidad-lindo-entorno-luminosa-inmuebles-19089466,-34.92901,-54.93009
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/venta-casa-3-dormitorios-en-marly-punta-del-este-inmuebles-19610225,,
3 Dormitorios,U$S 195.000,https://www.gallito.com.uy/casa-a-la-venta-en-punta-del-este-inmuebles-19847807,,
4 Dormitorios,U$S 195.000,https://www.gallito.com.uy/venta-de-casa-4-dormitorios-en-lugano-punta-del-este-inmuebles-18755418,,
4 Dormitorios,U$S 195.000,https://www.gallito.com.uy/oportunidad-casa-de-3-dormitorios-en-lugano-inmuebles-20109711,,
3 Dormitorios - 255 m2,U$S 195.000,https://www.gallito.com.uy/venta-y-alquiler-de-casa-3-dormitorios-en-golf-ref-1370-inmuebles-17180175,-34.92811,-54.90889
