desc,valor,metraje,url,lat,lng
3 Dormitorios en Capurro,U$S 49.600,90.0,https://www.gallito.com.uy/casa-capurro-para-reciclar-inmuebles-19340225,-34.86769,-56.21515
Más de 4 dormitorios en Piedras Blancas,U$S 50.000,174.0,https://www.gallito.com.uy/galeano-y-mendoza-ideal-contructores-inmuebles-20108652,-34.82865,-56.15463
4 Dormitorios en Paso Carrasco,U$S 50.000,50.0,https://www.gallito.com.uy/casas-venta-montevideo-paso-carrasco-inmuebles-19825153,,
1 Dormitorio en La Comercial,U$S 50.000,50.0,https://www.gallito.com.uy/inversores-actualmente-esta-alquilada-se-vende-con-renta-inmuebles-19406082,,
2 Dormitorios en Manga,U$S 50.000,60.0,https://www.gallito.com.uy/bernardo-berro-y-estrella-polar-inmuebles-17028538,-34.78732,-56.13053
1 Dormitorio en Peñarol,U$S 50.000,43.0,https://www.gallito.com.uy/con-renta-con-gtia-contaduria-muy-prolija-inmuebles-16608558,-34.82492,-56.20902
2 Dormitorios en Aires Puros,U$S 50.000,,https://www.gallito.com.uy/refor-vende-casa-en-paso-molino-inmuebles-17110726,-34.85519,-56.21199
1 Dormitorio en Villa Española,U$S 51.000,,https://www.gallito.com.uy/hermosa-casita-en-pb-a-pasos-del-antel-arena-inmuebles-16625513,,
1 Dormitorio en Villa Española,U$S 51.990,40.0,https://www.gallito.com.uy/oportunidad-de-inversion-hermosa-casa-de-1-dormitorio-inmuebles-19444458,-34.86428,-56.14492
1 Dormitorio en Villa Española,U$S 51.990,40.0,https://www.gallito.com.uy/oportunidad-de-inversion-hermosa-casa-de-1-dormitorio-inmuebles-19444453,-34.86428,-56.14492
1 Dormitorio en Sayago,U$S 52.000,,https://www.gallito.com.uy/casa-con-entrada-independiente-con-patio-y-galpon-inmuebles-18992112,,
2 Dormitorios en Colon,U$S 52.000,70.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-colon-inmuebles-17853576,-34.8084,-56.22477
1 Dormitorio en Aires Puros,U$S 52.500,25.0,https://www.gallito.com.uy/casa-1-dorm-y-patio-en-av-general-flores-inmuebles-20067142,-34.8586,-56.16531
2 Dormitorios en Perez Castellanos,U$S 53.000,60.0,https://www.gallito.com.uy/amplia-y-luminosa-casa-al-fondo-inmuebles-19714756,-34.85349,-56.15242
2 Dormitorios en Colon,U$S 53.000,60.0,https://www.gallito.com.uy/arteaga-hill-vende-casa-2-domritorios-excelente-inmuebles-20059567,,
2 Dormitorios en Peñarol,U$S 53.000,30.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-peñarol-inmuebles-19567072,-34.82483,-56.20842
1 Dormitorio en Colon,U$S 54.000,38.0,https://www.gallito.com.uy/casa-a-la-venta-en-colon-inmuebles-14586875,-34.80312,-56.21784
1 Dormitorio en Manga,U$S 54.000,42.0,https://www.gallito.com.uy/excelente-casa-con-jadrin-y-parrillero-acepta-bco-inmuebles-20040532,-34.81678,-56.14388
1 Dormitorio en Manga,U$S 54.000,,https://www.gallito.com.uy/venta-de-casa-1-dormitorio-en-propiedad-horizontal-inmuebles-19743592,,
1 Dormitorio en Union,U$S 54.000,37.0,https://www.gallito.com.uy/casa-un-dormitorio-venta-union-con-patio-inmuebles-20033549,,
1 Dormitorio en Union,U$S 54.000,72.0,https://www.gallito.com.uy/venta-casa1-dormitorio-union-inmuebles-20033644,,
3 Dormitorios en Centro,U$S 54.900,140.0,https://www.gallito.com.uy/casa-de-3-dormitorios-en-venta-montevideo-inmuebles-19015337,,
3 Dormitorios en Nuevo Paris,U$S 55.000,61.0,https://www.gallito.com.uy/cooperativa-sin-saldo-pronta-para-entrar-y-con-garage-inmuebles-15666723,-34.8401,-56.23979
1 Dormitorio en Brazo Oriental,U$S 55.000,45.0,https://www.gallito.com.uy/guillermo-tell-1-dormitorio-liv-com-coc-patio-uss-55000-inmuebles-18990863,,
2 Dormitorios en Piedras Blancas,U$S 55.000,44.0,https://www.gallito.com.uy/capitan-tula-en-complejo-cerrado-inmuebles-18443177,,
2 Dormitorios en Brazo Oriental,U$S 55.000,75.0,https://www.gallito.com.uy/venta-casa-brazo-oriental-inmuebles-19103632,-34.86615,-56.17504
2 Dormitorios en Union,U$S 55.000,80.0,https://www.gallito.com.uy/casa-tipo-apto-jardin-ccochera-parrillero-union-proximo-a-inmuebles-19097082,-34.87222,-56.12632
3 Dormitorios en Cerro,U$S 55.000,,https://www.gallito.com.uy/inmobiliaria-battut-vende-casa-tres-dormitorios-en-cerro-inmuebles-20011126,,
1 Dormitorio en Paso De La Arena,U$S 55.000,50.0,https://www.gallito.com.uy/casa-con-terreno-y-entrada-lateral-inmuebles-17825214,-34.83081,-56.27345
3 Dormitorios en Colon,U$S 55.000,51.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-fondo-colon-inmuebles-20101270,-34.80195,-56.22162
2 Dormitorios en Maroñas,U$S 55.000,60.0,https://www.gallito.com.uy/vende-casa-2-dormitorios-patio-y-cochera-flor-de-maroñas-inmuebles-19813921,-34.84687,-56.12199
2 Dormitorios en La Teja,U$S 55.000,90.0,https://www.gallito.com.uy/js-venta-casa-la-teja-2-dormitorios-cooperativa-inmuebles-19688400,-34.84965,-56.23677
1 Dormitorio en Cerrito,U$S 55.000,35.0,https://www.gallito.com.uy/acm-casa-de-1-dorm-solida-y-noble-construccion-inmuebles-16294073,-34.84458,-56.17025
