desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
4 Dormitorios en Brazo Oriental,89000,,https://www.gallito.com.uy/casa-en-venta-brazo-oriental-inmuebles-20769840,,,4 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
3 Dormitorios en Peñarol,89000,90.0,https://www.gallito.com.uy/casa-y-apartamento-ideal-compra-para-renta-inmuebles-20773416,-34.82825,-56.20048,3 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0
1 Ambiente en Palermo,89000,44.0,https://www.gallito.com.uy/venta-palermo-localapartamento-gonzalo-ramírez-inmuebles-21115241,,,1 Ambiente,Palermo,Palermo,5.0
3 Dormitorios en Colon,89000,56.0,https://www.gallito.com.uy/arteaga-hill-vende-buena-casa-en-colon-inmuebles-20240724,,,3 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
3 Dormitorios en Aires Puros,89000,60.0,https://www.gallito.com.uy/casa-2-dormitorios-1-baño-inmuebles-16817915,-34.85321,-56.19263,3 Dormitorios,Aires Puros,Aires Puros,29.0
2 Dormitorios en Prado Norte,89000,70.0,https://www.gallito.com.uy/casa-en-regimen-de-ph-–-trebol-1697-prado-inmuebles-20056129,,,2 Dormitorios,Prado Norte,"Prado, Nueva Savona",39.0
3 Dormitorios en Colon,89000,64.0,https://www.gallito.com.uy/venta-casa-colon-3-dormitorios-para-entrar-inmuebles-19635760,-34.79785,-56.23321,3 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
2 Dormitorios en Colon,89000,108.0,https://www.gallito.com.uy/comoda-casa-de-2-dormitorios-a-reciclar-con-jardin-pa-inmuebles-20823028,-34.81861,-56.22001,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
2 Dormitorios en Capurro,89000,180.0,https://www.gallito.com.uy/buen-galpon-con-reciclaje-proyectado-y-terreno-inmuebles-20418687,-34.8688,-56.21575,2 Dormitorios,Capurro,"Capurro, Bella Vista",40.0
2 Dormitorios en Cerro,89000,120.0,https://www.gallito.com.uy/venta-casa-peru-cerro-inmuebles-19379623,-34.87932,-56.25612,2 Dormitorios,Cerro,Cerro,35.0
2 Dormitorios en Aires Puros,89000,100.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-aires-puros-3-dormitorios-barbacoa-inmuebles-14886735,-34.85278,-56.19323,2 Dormitorios,Aires Puros,Aires Puros,29.0
2 Dormitorios en Cerro,89000,81.0,https://www.gallito.com.uy/casa-cerro-inmuebles-21118839,-34.88064,-56.26438,2 Dormitorios,Cerro,Cerro,35.0
4 Dormitorios en Union,89000,171.0,https://www.gallito.com.uy/uss-89000=-union-cabrera-3734-casi-g-viana-2200-inmuebles-20784381,-34.87653,-56.1398,4 Dormitorios,Union,Unión,23.0
2 Dormitorios en Cerrito,89000,100.0,https://www.gallito.com.uy/casa-en-venta-sobre-br-batlle-y-ordoñez-inmuebles-20854792,-34.85812,-56.17533,2 Dormitorios,Cerrito,Cerrito,27.0
3 Dormitorios en Union,89800,,https://www.gallito.com.uy/proximo-8-de-octubre-y-comercio-inmuebles-19714505,,,3 Dormitorios,Union,Unión,23.0
