desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine,valor_metro
2 Dormitorios en Cerro,98000,141.0,https://www.gallito.com.uy/venta-ph-en-cerro-hasta-4-lugares-de-garaje-imperdible-inmuebles-21784615,-34.87876,-56.25224,2 Dormitorios,Cerro,Cerro,35.0,695.0354609929078
3 Dormitorios en Buceo,98500,100.0,https://www.gallito.com.uy/oportunidad-vendo-por-viaje-linda-casa-inmuebles-21927979,-34.90721,-56.19027,3 Dormitorios,Buceo,Buceo,9.0,985.0
2 Dormitorios en Brazo Oriental,99000,91.0,https://www.gallito.com.uy/padron-unico-magested-y-burgues-inmuebles-19353334,-34.86464,-56.18628,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,1087.9120879120878
3 Dormitorios en Maroñas,99000,67.0,https://www.gallito.com.uy/venta-casa-3-dorm1-baño-y-patio-63000usdcuotas-inmuebles-20146847,-34.85611,-56.12691,3 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0,1477.6119402985075
2 Dormitorios en Carrasco Norte,99000,90.0,https://www.gallito.com.uy/casa-de-2-dormitorios-en-carrasco-norte-inmuebles-21597178,-34.87296,-56.08835,2 Dormitorios,Carrasco Norte,Carrasco Norte,15.0,1100.0
2 Dormitorios en Capurro,99000,100.0,https://www.gallito.com.uy/casa-en-capurro-a-metros-de-la-avenida-inmuebles-19506634,-34.87007,-56.21209,2 Dormitorios,Capurro,"Capurro, Bella Vista",40.0,990.0
2 Dormitorios en Union,99000,54.0,https://www.gallito.com.uy/casa-en-venta-union-lars-inmuebles-21015583,-34.88373,-56.13028,2 Dormitorios,Union,Unión,23.0,1833.3333333333333
2 Dormitorios en Malvin Norte,100000,55.0,https://www.gallito.com.uy/casa-2-dorm-en-venta-en-malvin-norte-con-cochera-inmuebles-21546888,-34.88087,-56.11155,2 Dormitorios,Malvin Norte,Malvín Norte,12.0,1818.1818181818182
2 Dormitorios en Malvin Norte,100000,43.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-en-malvin-norte-ley-vis-inmuebles-22044754,-34.88084,-56.11146,2 Dormitorios,Malvin Norte,Malvín Norte,12.0,2325.5813953488373
2 Dormitorios en Sayago,105000,100.0,https://www.gallito.com.uy/oportunidad-buen-inmueble-con-amplio-terreno-inmuebles-21520630,,,2 Dormitorios,Sayago,Sayago,52.0,1050.0
3 Dormitorios en La Teja,105000,90.0,https://www.gallito.com.uy/casa-con-cochera-y-fondo-teja-sur-inmuebles-20651589,-34.86715,-56.223,3 Dormitorios,La Teja,La Teja,38.0,1166.6666666666667
2 Dormitorios en Brazo Oriental,105000,54.0,https://www.gallito.com.uy/reciclada-ubicada-en-un-muy-lindo-punto-a-mts-de-br-inmuebles-20980342,-34.86972,-56.17665,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,1944.4444444444443
2 Dormitorios en Capurro,105000,70.0,https://www.gallito.com.uy/casablanca-ph-al-frente-impecable-inmuebles-12947815,-34.86977,-56.21681,2 Dormitorios,Capurro,"Capurro, Bella Vista",40.0,1500.0
4 Dormitorios en Union,108000,100.0,https://www.gallito.com.uy/ideal-2-familias-o-renta-padron-con-3-unidades-inmuebles-21885244,-34.8705,-56.13654,4 Dormitorios,Union,Unión,23.0,1080.0
2 Dormitorios en Jacinto Vera,109000,52.0,https://www.gallito.com.uy/muy-buena-oportunidad-lista-para-entrar-inmuebles-21451489,-34.87513,-56.17361,2 Dormitorios,Jacinto Vera,Jacinto Vera,44.0,2096.153846153846
2 Dormitorios en Reducto,109000,79.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-amplia-terraza-reducto-inmuebles-21603765,-34.87189,-56.18449,2 Dormitorios,Reducto,Reducto,42.0,1379.746835443038
2 Dormitorios en Sayago,110000,91.0,https://www.gallito.com.uy/sobre-avenida-garzon-buena-propiedad-al-frente-inmuebles-21293881,,,2 Dormitorios,Sayago,Sayago,52.0,1208.7912087912089
2 Dormitorios en Buceo,110000,60.0,https://www.gallito.com.uy/casa-de-altos-a-1-de-batlle-y-ordoñes-y-3-de-rivera-inmuebles-21506839,-34.89425,-56.12603,2 Dormitorios,Buceo,Buceo,9.0,1833.3333333333333
3 Dormitorios en Brazo Oriental,110000,102.0,https://www.gallito.com.uy/casablanca-a-pasos-de-propios-al-sur-inmuebles-19723157,-34.8556,-56.18233,3 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,1078.4313725490197
2 Dormitorios en Prado,115000,55.0,https://www.gallito.com.uy/casablanca-ph-en-planta-alta-al-frente-inmuebles-20206127,-34.86534,-56.21139,2 Dormitorios,Prado,"Prado, Nueva Savona",39.0,2090.909090909091
2 Dormitorios en Brazo Oriental,115000,60.0,https://www.gallito.com.uy/dueño-vende-ph-de-altos-brazo-oriental-inmuebles-21940355,-34.90721,-56.19027,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,1916.6666666666667
3 Dormitorios en Aguada,115000,90.0,https://www.gallito.com.uy/casa-de-3-o-4-dormitorios-en-aguada-inmuebles-21921380,-34.89423,-56.18996,3 Dormitorios,Aguada,Aguada,41.0,1277.7777777777778
3 Dormitorios en Paso Molino,115000,75.0,https://www.gallito.com.uy/casa-esquina-con-garaje-inmuebles-20488071,-34.85256,-56.21725,3 Dormitorios,Paso Molino,,,1533.3333333333333
4 Dormitorios en Aguada,115000,118.0,https://www.gallito.com.uy/casa-venta-aguada-4-dormitorios-casa-de-epoca-azotea-inmuebles-22217630,-34.88373,-56.18477,4 Dormitorios,Aguada,Aguada,41.0,974.5762711864406
2 Dormitorios en La Comercial,115000,63.0,https://www.gallito.com.uy/proxima-a-tres-cruces-sobre-martin-garcia-consulte-inmuebles-21835989,-34.88736,-56.17054,2 Dormitorios,La Comercial,La Comercial,49.0,1825.3968253968253
2 Dormitorios en La Blanqueada,115000,68.0,https://www.gallito.com.uy/venta-de-casa-en-la-blanqueada-juan-ortiz-y-fco-simon-inmuebles-22277432,,,2 Dormitorios,La Blanqueada,La Blanqueada,47.0,1691.1764705882354
3 Dormitorios en Villa Muñoz,115000,110.0,https://www.gallito.com.uy/padron-unico-109-m2-excelente-estado-inmuebles-20675391,,,3 Dormitorios,Villa Muñoz,"Villa Muñoz, Retiro",48.0,1045.4545454545455
4 Dormitorios en Perez Castellanos,116000,126.0,https://www.gallito.com.uy/casa-en-excelente-estado-financiada-inmuebles-18448778,,,4 Dormitorios,Perez Castellanos,"Castro, P. Castellanos",26.0,920.6349206349206
3 Dormitorios en Cerro,118000,99.0,https://www.gallito.com.uy/linda-y-lista-para-entrar-barbacoa-con-parrillero-inmuebles-22037785,-34.88345,-56.2494,3 Dormitorios,Cerro,Cerro,35.0,1191.919191919192
2 Dormitorios en La Blanqueada,118000,47.0,https://www.gallito.com.uy/muy-bonita-en-planta-alta-a-metros-del-parque-central-inmuebles-21841340,-34.88362,-56.15983,2 Dormitorios,La Blanqueada,La Blanqueada,47.0,2510.6382978723404
3 Dormitorios en Nuevo Paris,118000,182.0,https://www.gallito.com.uy/casa-y-3-apartamentos-alquilados-inmuebles-21718724,-34.84288,-56.23803,3 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0,648.3516483516484
2 Dormitorios en Sayago,118000,86.0,https://www.gallito.com.uy/excelente-ubicacion-sobre-avenida-sayago-inmuebles-21101262,-34.83159,-56.21466,2 Dormitorios,Sayago,Sayago,52.0,1372.093023255814
2 Dormitorios en Perez Castellanos,119000,80.0,https://www.gallito.com.uy/se-vende-casa-con-cochera-cercana-al-antel-arena-inmuebles-22179843,-34.85349,-56.15602,2 Dormitorios,Perez Castellanos,"Castro, P. Castellanos",26.0,1487.5
2 Dormitorios en La Blanqueada,119000,67.0,https://www.gallito.com.uy/casa-pa-prop-horizontal-impec-2-dorm-baño-patio-uss119000-inmuebles-19156128,-34.86921,-56.15592,2 Dormitorios,La Blanqueada,La Blanqueada,47.0,1776.1194029850747
2 Dormitorios en Peñarol,119000,250.0,https://www.gallito.com.uy/casa-peñarol-lavalleja-inmuebles-22145328,-34.89001,-56.13266,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0,476.0
2 Dormitorios en La Teja,120000,200.0,https://www.gallito.com.uy/casa-y-3-apartamentos-inmuebles-17795303,-34.86543,-56.23843,2 Dormitorios,La Teja,La Teja,38.0,600.0
3 Dormitorios en Peñarol,120000,120.0,https://www.gallito.com.uy/casa-con-local-casavalle-proximo-a-garzon-inmuebles-21999452,-34.81856,-56.20992,3 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0,1000.0
3 Dormitorios en Paso De La Arena,120000,65.0,https://www.gallito.com.uy/casa-ph-3-dormitorios-y-terreno-2000-metros-inmuebles-18409241,-34.82778,-56.28959,3 Dormitorios,Paso De La Arena,Paso de la Arena,57.0,1846.1538461538462
2 Dormitorios en Piedras Blancas,120000,51.0,https://www.gallito.com.uy/casa-sobre-belloni-2-dormitorios-gran-terreno-inmuebles-22065561,-34.81261,-56.13857,2 Dormitorios,Piedras Blancas,Piedras Blancas,31.0,2352.9411764705883
3 Dormitorios en Brazo Oriental,120000,80.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-1-baño-brazo-oriental-inmuebles-20191771,-34.86779,-56.17491,3 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,1500.0
4 Dormitorios en La Teja,120000,160.0,https://www.gallito.com.uy/todas-las-comodidades-cochera-jardin-y-fondo-inmuebles-22110594,-34.86325,-56.23699,4 Dormitorios,La Teja,La Teja,38.0,750.0
2 Dormitorios en Paso Molino,122000,97.0,https://www.gallito.com.uy/herrera-y-obes-a-metros-de-carlos-m-ramirez-inmuebles-21752996,-34.85868,-56.22502,2 Dormitorios,Paso Molino,,,1257.7319587628865
3 Dormitorios en Belvedere,122000,167.0,https://www.gallito.com.uy/manuel-herrera-y-obes-casa-con-fondo-inmuebles-21949834,,,3 Dormitorios,Belvedere,Belvedere,54.0,730.5389221556886
2 Dormitorios en La Blanqueada,124500,53.0,https://www.gallito.com.uy/excelente-oportunidad-en-la-blanqueada-inmuebles-21875440,-34.88377,-56.14371,2 Dormitorios,La Blanqueada,La Blanqueada,47.0,2349.056603773585
2 Dormitorios en La Blanqueada,124900,58.0,https://www.gallito.com.uy/apto-tipo-casa-al-fte-2-dor-cerca-av-italia-y-de-propios-inmuebles-21832319,-34.88394,-56.14448,2 Dormitorios,La Blanqueada,La Blanqueada,47.0,2153.448275862069
Más de 4 dormitorios en Nuevo Paris,125000,121.0,https://www.gallito.com.uy/3-unidades-en-un-padron-inmuebles-17520725,-34.83992,-56.24273,Más de 4 dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0,1033.0578512396694
2 Dormitorios en Buceo,127000,48.0,https://www.gallito.com.uy/baldovino-buceo-jacinto-vera-y-magariños-cervantes-inmuebles-22010905,,,2 Dormitorios,Buceo,Buceo,9.0,2645.8333333333335
2 Dormitorios en Pocitos Nuevo,127000,48.0,https://www.gallito.com.uy/baldovino-pocnuevo-jacinto-vera-y-magariños-cervantes-inmuebles-22010926,,,2 Dormitorios,Pocitos Nuevo,Pocitos,8.0,2645.8333333333335
3 Dormitorios en Sayago,128000,88.0,https://www.gallito.com.uy/potenza-casa-3-dormitorios-garage-y-patio-30-metros-inmuebles-13365889,-34.82214,-56.22599,3 Dormitorios,Sayago,Sayago,52.0,1454.5454545454545
