desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
3 Dormitorios en Union,50000,90.0,https://www.gallito.com.uy/oportunidad-inversor-casa-a-reciclar-union-padron-168-m2-inmuebles-21759268,-34.90721,-56.19027,3 Dormitorios,Union,Unión,23.0
1 Dormitorio en Villa Muñoz,50000,50.0,https://www.gallito.com.uy/inversores-actualmente-esta-alquilada-se-vende-con-renta-inmuebles-20423761,-34.88409,-56.1781,1 Dormitorio,Villa Muñoz,"Villa Muñoz, Retiro",48.0
2 Dormitorios en Nuevo Paris,50000,60.0,https://www.gallito.com.uy/refor-vende-casa-en-nuevo-paris-inmuebles-20766205,-34.83647,-56.24071,2 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0
3 Dormitorios en Aires Puros,50000,60.0,https://www.gallito.com.uy/venta-casa-3d-fondo-parrillero-ituzaingo-inmuebles-21569872,-34.85069,-56.14024,3 Dormitorios,Aires Puros,Aires Puros,29.0
3 Dormitorios en La Teja,50000,80.0,https://www.gallito.com.uy/venta-casa-la-teja-montevideo-imasuy-a-inmuebles-21443003,-34.89005,-56.25025,3 Dormitorios,La Teja,La Teja,38.0
3 Dormitorios en Peñarol,50000,66.0,https://www.gallito.com.uy/casa-en-venta-3-dormitorios-peñarol-inmuebles-22276985,-34.82596,-56.20297,3 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0
1 Dormitorio en Union,50000,,https://www.gallito.com.uy/casa-tipo-apartamento-en-la-union-inmuebles-21335017,,,1 Dormitorio,Union,Unión,23.0
1 Dormitorio en Union,50000,,https://www.gallito.com.uy/casa-tipo-apartamento-en-la-union-inmuebles-21542333,,,1 Dormitorio,Union,Unión,23.0
3 Dormitorios en La Teja,50000,470.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-a-reciclar-la-teja-inmuebles-21165075,,,3 Dormitorios,La Teja,La Teja,38.0
2 Dormitorios en Belvedere,50000,,https://www.gallito.com.uy/casa-en-venta-en-belvedere-inmuebles-21820772,,,2 Dormitorios,Belvedere,Belvedere,54.0
3 Dormitorios en Paso De La Arena,50000,80.0,https://www.gallito.com.uy/venta-casa-cerro-montevideo-imasuy-a-inmuebles-21443007,-34.88826,-56.27329,3 Dormitorios,Paso De La Arena,Paso de la Arena,57.0
2 Dormitorios en La Teja,50000,100.0,https://www.gallito.com.uy/casa-de-2-dormitorios-en-la-teja-inmuebles-21998215,-34.86101,-56.23791,2 Dormitorios,La Teja,La Teja,38.0
2 Dormitorios en Sayago,50000,70.0,https://www.gallito.com.uy/casa-en-venta-en-conciliacion-inmuebles-18646910,-34.81981,-56.22565,2 Dormitorios,Sayago,Sayago,52.0
2 Dormitorios en Lezica,85000,70.0,https://www.gallito.com.uy/casa-en-venta-barrio-lezica-inmuebles-15937759,-34.79259,-56.2424,2 Dormitorios,Lezica,"Lezica, Melilla",60.0
3 Dormitorios en Reducto,85000,70.0,https://www.gallito.com.uy/venta-casa-a-reciclar-3-dormitorios-reducto-inmuebles-21511301,-34.87783,-56.1888,3 Dormitorios,Reducto,Reducto,42.0
1 Dormitorio en Prado,85000,,https://www.gallito.com.uy/casa-en-venta-1-dormitorio-1-baã±o-patio-maria-orti-inmuebles-22232886,-34.955,-54.971,1 Dormitorio,Prado,"Prado, Nueva Savona",39.0
2 Dormitorios en Jacinto Vera,85000,100.0,https://www.gallito.com.uy/excelente-oportunidad-casa-en-la-comerical-inmuebles-21951138,-32.87555,-56.02015,2 Dormitorios,Jacinto Vera,Jacinto Vera,44.0
3 Dormitorios en La Teja,85000,,https://www.gallito.com.uy/refor-alquila-casa-en-pueblo-victoria-inmuebles-21507082,-34.8635,-56.22159,3 Dormitorios,La Teja,La Teja,38.0
3 Dormitorios en Reducto,85000,70.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-cochera-reducto-imasuy-m-inmuebles-22238247,-34.87868,-56.19163,3 Dormitorios,Reducto,Reducto,42.0
3 Dormitorios en Jacinto Vera,85000,70.0,https://www.gallito.com.uy/venta-de-casa-de-70m2-en-jacinto-vera-inmuebles-21515936,-34.87518,-56.17288,3 Dormitorios,Jacinto Vera,Jacinto Vera,44.0
2 Dormitorios en Piedras Blancas,85000,120.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-piedras-blancas-inmuebles-21591076,,,2 Dormitorios,Piedras Blancas,Piedras Blancas,31.0
2 Dormitorios en Punta Rieles,85000,,https://www.gallito.com.uy/vende-casa-para-reciclar-padrã³n-ãnico-de-516-m2-casi-inmuebles-22298481,-34.8221,-56.09931,2 Dormitorios,Punta Rieles,"Punta Rieles, Bella Italia",20.0
1 Dormitorio en Brazo Oriental,85000,60.0,https://www.gallito.com.uy/con-rentaproximo-nuevo-centro-andres-lamas-y-labandeira-inmuebles-13917775,-34.86484,-56.17255,1 Dormitorio,Brazo Oriental,Brazo Oriental,51.0
3 Dormitorios en Belvedere,85000,78.0,https://www.gallito.com.uy/va930-venta-casa-3-dorm-en-belvedere-azotea-transitable-inmuebles-21563393,-34.85468,-56.22097,3 Dormitorios,Belvedere,Belvedere,54.0
3 Dormitorios en Bella Vista,85000,70.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-cochera-bella-vista-imasuy-m-inmuebles-22238708,-34.87848,-56.1968,3 Dormitorios,Bella Vista,,
2 Dormitorios en La Teja,85000,45.0,https://www.gallito.com.uy/refor-vende-casa-en-la-teja-inmuebles-21719196,-34.86145,-56.23591,2 Dormitorios,La Teja,La Teja,38.0
