desc,valor,metraje,url
2 Dormitorios en Pocitos,U$S 175.000,80,https://www.gallito.com.uy/excelpunto-no-gastos-comunes-para-entrar-inmuebles-13251038
2 Dormitorios en Malvin,U$S 175.000,80,https://www.gallito.com.uy/una-planta-con-garage-muy-linda-y-segura-inmuebles-17681464
3 Dormitorios en Goes,U$S 178.000,107,https://www.gallito.com.uy/impecable-muy-comoda-cpatio-parrillero-prox-garibaldi-inmuebles-20879784
3 Dormitorios en Cordon,U$S 180.000,164,https://www.gallito.com.uy/venta-permuta-casa-cordon-3-dormitorios-2-baños-padron-unico-inmuebles-20969289
3 Dormitorios en Barrio Sur,U$S 180.000,130,https://www.gallito.com.uy/casa-para-reciclar-3-dormitorios-en-palermo-inmuebles-19595262
Más de 4 dormitorios en Union,U$S 180.000,92,https://www.gallito.com.uy/hermosa-casa-2-planta-pu45-dormitorios-barbacoa-garaje-inmuebles-20947316
3 Dormitorios en Jacinto Vera,U$S 180.000,97,https://www.gallito.com.uy/jacinto-vera-casa-venta-3-dormitorios-garaje-inmuebles-20997488
3 Dormitorios en Palermo,U$S 180.000,130,https://www.gallito.com.uy/casa-para-reciclar-3-dormitorios-en-palermo-inmuebles-19575729
3 Dormitorios en Cordon,U$S 180.000,130,https://www.gallito.com.uy/casa-para-reciclar-3-dormitorios-en-palermo-inmuebles-19595264
3 Dormitorios en Larrañaga,U$S 180.000,135,https://www.gallito.com.uy/gran-oportunidad-apartamento-y-monoambiente-inmuebles-20737193
3 Dormitorios en Tres Cruces,U$S 180.000,164,https://www.gallito.com.uy/venta-o-permuta-casa-tres-cruces-3-dormitorios-padron-unico-inmuebles-20938534
3 Dormitorios en Prado Norte,U$S 180.000,162,https://www.gallito.com.uy/casablanca-padron-unico-excelente-construccion-inmuebles-21002788
4 Dormitorios en Jacinto Vera,U$S 180.000,100,https://www.gallito.com.uy/venta-casa-4-dormitorios-con-cochera-jardin-y-fondo-inmuebles-20692568
Más de 4 dormitorios en Cordon,U$S 184.000,184,https://www.gallito.com.uy/sp-guyabos-y-ed-acevedo-pu-184-m2-impecable-crenta-inmuebles-20937282
2 Dormitorios en La Blanqueada,U$S 185.000,72,https://www.gallito.com.uy/hermosa-casa-esquina-de-2-dorm-sobre-magariños-cervantes-inmuebles-19249165
3 Dormitorios en Sayago,U$S 185.000,92,https://www.gallito.com.uy/se-vende-casa-3-dor-2-baños-y-garage-en-sayago-inmuebles-20835520
2 Dormitorios en Parque Batlle,U$S 185.000,,https://www.gallito.com.uy/padron-unico-dos-plantas-cochera-y-terraza-con-parrillero-inmuebles-20312004
2 Dormitorios en Pocitos Nuevo,U$S 185.000,72,https://www.gallito.com.uy/tipo-casita-impecable-para-entrar-alegre-y-luminosa-inmuebles-20549236
2 Dormitorios en Prado Norte,U$S 187.000,,https://www.gallito.com.uy/excelente-propiedad-en-padron-unico-mas-apto-de-1-dormitorio-inmuebles-20296090
2 Dormitorios en Prado,U$S 187.000,112,https://www.gallito.com.uy/excelente-casa-en-el-prado-mas-apto-en-el-fondo-parrillero-inmuebles-20772866
3 Dormitorios en Malvin,U$S 190.000,122,https://www.gallito.com.uy/casa-de-altos-sobre-rivera-inmuebles-19154449
Más de 4 dormitorios en Cordon,U$S 190.000,170,https://www.gallito.com.uy/casa-venta-cordon-montevideo-inmobiliaria-mas-r-inmuebles-19487939
2 Dormitorios en La Comercial,U$S 190.000,417,https://www.gallito.com.uy/justicia-y-hocquart-10m-de-frente-417m2-a-reciclar-lo-mejor-inmuebles-18966860
