desc,valor,metraje,url,lat,lng
3 Dormitorios en Cerro,U$S 118.000,99.0,https://www.gallito.com.uy/linda-y-lista-para-entrar-barbacoa-con-parrillero-inmuebles-22037785,-34.88345,-56.2494
2 Dormitorios en Sayago,U$S 118.000,74.0,https://www.gallito.com.uy/casablanca-a-pasos-de-avenidas-chalet-de-tejas-inmuebles-17850793,,
2 Dormitorios en La Blanqueada,U$S 118.000,47.0,https://www.gallito.com.uy/muy-bonita-en-planta-alta-a-metros-del-parque-central-inmuebles-21841340,-34.88362,-56.15983
2 Dormitorios en La Blanqueada,U$S 119.000,67.0,https://www.gallito.com.uy/casa-pa-prop-horizontal-impec-2-dorm-baño-patio-uss119000-inmuebles-19156128,-34.86921,-56.15592
2 Dormitorios en Perez Castellanos,U$S 119.000,80.0,https://www.gallito.com.uy/se-vende-casa-con-cochera-cercana-al-antel-arena-inmuebles-22179843,-34.85349,-56.15602
3 Dormitorios en Aguada,U$S 119.000,,https://www.gallito.com.uy/casa-de-alto-impecable-ph-3-dorm1-acepta-banco-inmuebles-22030696,-34.90721,-56.19027
2 Dormitorios en Paso Molino,U$S 120.000,,https://www.gallito.com.uy/linda-casa-al-frente-con-apto-en-el-fondo-inmuebles-22216852,,
4 Dormitorios en La Teja,U$S 120.000,160.0,https://www.gallito.com.uy/todas-las-comodidades-cochera-jardin-y-fondo-inmuebles-22110594,-34.86325,-56.23699
3 Dormitorios en Peñarol,U$S 120.000,120.0,https://www.gallito.com.uy/casa-con-local-casavalle-proximo-a-garzon-inmuebles-21999452,-34.81856,-56.20992
3 Dormitorios en Paso De La Arena,U$S 120.000,65.0,https://www.gallito.com.uy/casa-ph-3-dormitorios-y-terreno-2000-metros-inmuebles-18409241,-34.82778,-56.28959
2 Dormitorios en Aires Puros,U$S 120.000,74.0,https://www.gallito.com.uy/venta-casa-en-aires-puros-2-dor-fondo-a-reciclar-inmuebles-21546685,-34.85842,-56.18187
3 Dormitorios en Paso Molino,U$S 120.000,90.0,https://www.gallito.com.uy/casa-3-dormitorios-en-paso-molino-inmuebles-18946286,-34.85853,-56.21464
3 Dormitorios en Paso Molino,U$S 120.000,85.0,https://www.gallito.com.uy/venta-casa-paso-molino-3dor-1baño-gaje-parrillero-inmuebles-21674321,-34.85822,-56.22131
2 Dormitorios en La Teja,U$S 120.000,200.0,https://www.gallito.com.uy/casa-y-3-apartamentos-inmuebles-17795303,-34.86543,-56.23843
2 Dormitorios en J. Hipodromo,U$S 120.000,,https://www.gallito.com.uy/casa-con-buen-terreno-inmuebles-17520662,-34.83466,-56.11705
2 Dormitorios en Piedras Blancas,U$S 120.000,51.0,https://www.gallito.com.uy/casa-sobre-belloni-2-dormitorios-gran-terreno-inmuebles-22065561,-34.81261,-56.13857
3 Dormitorios en Brazo Oriental,U$S 120.000,80.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-1-baño-brazo-oriental-inmuebles-20191771,-34.86779,-56.17491
3 Dormitorios en Belvedere,U$S 122.000,167.0,https://www.gallito.com.uy/manuel-herrera-y-obes-casa-con-fondo-inmuebles-21949834,,
2 Dormitorios en Paso Molino,U$S 122.000,97.0,https://www.gallito.com.uy/herrera-y-obes-a-metros-de-carlos-m-ramirez-inmuebles-21752996,-34.85868,-56.22502
2 Dormitorios en Peñarol,U$S 123.000,136.0,https://www.gallito.com.uy/oficina-sosa-casa-padron-unico-buena-construccion-pro-inmuebles-21529934,-34.89522,-56.13258
2 Dormitorios en La Blanqueada,U$S 124.500,53.0,https://www.gallito.com.uy/excelente-oportunidad-en-la-blanqueada-inmuebles-21875440,-34.88377,-56.14371
2 Dormitorios en La Blanqueada,U$S 124.900,58.0,https://www.gallito.com.uy/apto-tipo-casa-al-fte-2-dor-cerca-av-italia-y-de-propios-inmuebles-21832319,-34.88394,-56.14448
Más de 4 dormitorios en Nuevo Paris,U$S 125.000,121.0,https://www.gallito.com.uy/3-unidades-en-un-padron-inmuebles-17520725,-34.83992,-56.24273
2 Dormitorios en Buceo,U$S 127.000,48.0,https://www.gallito.com.uy/baldovino-buceo-jacinto-vera-y-magariños-cervantes-inmuebles-22010905,,
2 Dormitorios en Pocitos Nuevo,U$S 127.000,48.0,https://www.gallito.com.uy/baldovino-pocnuevo-jacinto-vera-y-magariños-cervantes-inmuebles-22010926,,
3 Dormitorios en Sayago,U$S 128.000,88.0,https://www.gallito.com.uy/potenza-casa-3-dormitorios-garage-y-patio-30-metros-inmuebles-13365889,-34.82214,-56.22599
